epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26214,3.11783,16.9018,2.68621,0.00083,1,0.00419,0.00042,3.59004,21.5516,3.41753,0,0,0
2,4.25615,3.87389,12.7119,3.84497,0.00083,1,0.00433,0.00043,3.60426,22.0677,3.23047,1.802e-05,1.802e-05,1.802e-05
3,6.23297,2.86636,15.952,3.82239,0.00083,1,0.00381,0.00052,3.4428,19.8367,3.0216,3.208e-05,3.208e-05,3.208e-05
4,8.20913,3.72252,15.9771,3.31507,0.00083,1,0.01707,0.00473,3.11667,21.2824,2.79231,4.218e-05,4.218e-05,4.218e-05
5,10.1909,2.61246,24.5105,3.20512,0.00083,1,0.01265,0.00664,2.62947,23.7102,2.75844,4.832e-05,4.832e-05,4.832e-05
6,12.14,3.29785,12.6927,3.38472,0.00083,1,0.02409,0.01399,2.50873,17.3704,2.68262,5.05e-05,5.05e-05,5.05e-05
7,14.0873,2.64379,12.4537,2.70952,0.00083,1,0.04235,0.01425,2.84405,14.8109,2.64622,4.872e-05,4.872e-05,4.872e-05
8,16.0815,3.10974,16.8589,3.46621,0.00083,1,0.06987,0.02363,2.22715,20.3214,2.6376,4.298e-05,4.298e-05,4.298e-05
9,18.0727,2.38136,18.9021,2.55401,0.00083,1,0.1091,0.04423,2.43118,17.6661,2.51711,3.328e-05,3.328e-05,3.328e-05
10,20.0835,2.09906,13.2095,2.41117,0.00083,1,0.13511,0.05549,2.49903,15.8339,2.45832,1.962e-05,1.962e-05,1.962e-05
